Results for Tensor /kaggle/input/mistral-later-layers/vec_layer_17_Mistral-7B-Instruct-v0.3.pt:
  Token: oppon, Probability: 0.0129
  Token: /******/, Probability: 0.0118
  Token: ilo, Probability: 0.0052
  Token: ❶, Probability: 0.0048
  Token: บ, Probability: 0.0027
  Token: rente, Probability: 0.0024
  Token: aggio, Probability: 0.0024
  Token: winning, Probability: 0.0020
  Token: fav, Probability: 0.0018
  Token: ulo, Probability: 0.0017
  Token: nie, Probability: 0.0016
  Token: winning, Probability: 0.0016
  Token: ilon, Probability: 0.0016
  Token: kur, Probability: 0.0015
  Token: idding, Probability: 0.0015
  Token: Kre, Probability: 0.0014
  Token: atte, Probability: 0.0013
  Token: imary, Probability: 0.0013
  Token: arent, Probability: 0.0013
  Token: spray, Probability: 0.0013
  Token: accordingly, Probability: 0.0012
  Token: activ, Probability: 0.0011
  Token: avis, Probability: 0.0011
  Token: icking, Probability: 0.0010
  Token: Florence, Probability: 0.0010
  Token: sbi, Probability: 0.0010
  Token: 激, Probability: 0.0010
  Token: ingo, Probability: 0.0010
  Token: orne, Probability: 0.0009
  Token: fist, Probability: 0.0009
  Token: auch, Probability: 0.0009
  Token: oment, Probability: 0.0008
  Token: Santiago, Probability: 0.0008
  Token: iev, Probability: 0.0008
  Token: inde, Probability: 0.0008
  Token: onde, Probability: 0.0008
  Token: Mississ, Probability: 0.0008
  Token: ood, Probability: 0.0008
  Token: goodness, Probability: 0.0008
  Token: 活, Probability: 0.0008
  Token: Fue, Probability: 0.0007
  Token: ervices, Probability: 0.0007
  Token: ipping, Probability: 0.0007
  Token: 弟, Probability: 0.0007
  Token: rek, Probability: 0.0007
  Token: riter, Probability: 0.0007
  Token: Fac, Probability: 0.0007
  Token: assertTrue, Probability: 0.0007
  Token: PE, Probability: 0.0007
  Token: thon, Probability: 0.0007
  Token: afka, Probability: 0.0007
  Token: Activ, Probability: 0.0007
  Token: raf, Probability: 0.0007
  Token: ello, Probability: 0.0007
  Token: unity, Probability: 0.0007
  Token: мира, Probability: 0.0007
  Token: atti, Probability: 0.0007
  Token: ativo, Probability: 0.0007
  Token: inz, Probability: 0.0007
  Token: чен, Probability: 0.0007
  Token: raz, Probability: 0.0006
  Token: Sv, Probability: 0.0006
  Token: enabled, Probability: 0.0006
  Token: rage, Probability: 0.0006
  Token: Cache, Probability: 0.0006
  Token: nier, Probability: 0.0006
  Token: 승, Probability: 0.0006
  Token: FMT, Probability: 0.0006
  Token: nas, Probability: 0.0006
  Token: zh, Probability: 0.0006
  Token: aco, Probability: 0.0006
  Token: Sally, Probability: 0.0006
  Token: iblic, Probability: 0.0006
