Results for Tensor /content/llama-3.1_layer13_nooptions.pt:
  Token: ités, Probability: 0.0169
  Token: boost, Probability: 0.0097
  Token:  Sunder, Probability: 0.0064
  Token: agine, Probability: 0.0057
  Token: aset, Probability: 0.0051
  Token: ณ, Probability: 0.0046
  Token: wn, Probability: 0.0041
  Token: ieber, Probability: 0.0033
  Token: ssel, Probability: 0.0033
  Token: .flink, Probability: 0.0030
  Token:  direct, Probability: 0.0030
  Token: etur, Probability: 0.0030

Results for Tensor /content/llama-3.1-layer23_nooptions.pt:
  Token: based, Probability: 0.2702
  Token:  based, Probability: 0.2135
  Token: Based, Probability: 0.0874
  Token:  Based, Probability: 0.0831
  Token:  according, Probability: 0.0240
  Token:  refer, Probability: 0.0106
  Token:  According, Probability: 0.0082
  Token: 基于, Probability: 0.0049
  Token:  refers, Probability: 0.0042
  Token: According, Probability: 0.0038
  Token:  reference, Probability: 0.0033
  Token:  referring, Probability: 0.0030
  Token: Refer, Probability: 0.0029
  Token: erton, Probability: 0.0028
  Token: answer, Probability: 0.0027
  Token: ilter, Probability: 0.0027
  Token: according, Probability: 0.0026
  Token: ccording, Probability: 0.0025
  Token: adio, Probability: 0.0024
  Token: -reference, Probability: 0.0024
  Token: bases, Probability: 0.0023
  Token: 根据, Probability: 0.0022
  Token:  Reference, Probability: 0.0022
  Token:  Refer, Probability: 0.0019
  Token: inee, Probability: 0.0017
  Token: /reference, Probability: 0.0016
  Token: .answer, Probability: 0.0012
  Token: 104, Probability: 0.0012
  Token:  basis, Probability: 0.0011
  Token: avirus, Probability: 0.0011
  Token:  attention, Probability: 0.0011
  Token:  Answer, Probability: 0.0010
  Token:  accordance, Probability: 0.0010
  Token: ött, Probability: 0.0008
  Token: âng, Probability: 0.0008
  Token:  answered, Probability: 0.0008
  Token: 547, Probability: 0.0008
  Token: reference, Probability: 0.0008
  Token:  strictly, Probability: 0.0007
  Token: refer, Probability: 0.0007
  Token:  answer, Probability: 0.0007
  Token:  specializes, Probability: 0.0007
  Token:  references, Probability: 0.0007
  Token:  NA, Probability: 0.0006
  Token:  réfé, Probability: 0.0006
  Token: ufs, Probability: 0.0006
  Token: 答案, Probability: 0.0006
  Token: hem, Probability: 0.0005
  Token: _reference, Probability: 0.0005
  Token: yster, Probability: 0.0005
  Token: ModelIndex, Probability: 0.0005
  Token: BASE, Probability: 0.0005
  Token:  acordo, Probability: 0.0005
  Token: base, Probability: 0.0005
  Token:  ANSW, Probability: 0.0005
  Token: _usb, Probability: 0.0005
  Token: issy, Probability: 0.0005
  Token:  Inspired, Probability: 0.0005

Results for Tensor /content/llama-3.1-layer27-nooptions.pt:
  Token: erton, Probability: 0.0688
  Token:  according, Probability: 0.0076
  Token: Based, Probability: 0.0070
  Token: ings, Probability: 0.0063
  Token: ased, Probability: 0.0061
  Token: based, Probability: 0.0056
  Token: According, Probability: 0.0049
  Token: ufs, Probability: 0.0044
  Token:  According, Probability: 0.0040
  Token: 根据, Probability: 0.0036
  Token: istik, Probability: 0.0036
  Token: odings, Probability: 0.0035
  Token:  Based, Probability: 0.0034
  Token:  Genius, Probability: 0.0029
  Token: rido, Probability: 0.0028
  Token: /document, Probability: 0.0026
  Token: ccording, Probability: 0.0024
  Token:  Text, Probability: 0.0023
  Token: ermint, Probability: 0.0021
  Token: unch, Probability: 0.0021
  Token: .plist, Probability: 0.0019
  Token: oton, Probability: 0.0019
  Token: nsic, Probability: 0.0019
  Token: áno, Probability: 0.0019
  Token: icana, Probability: 0.0019
  Token: ugs, Probability: 0.0019
  Token:  based, Probability: 0.0019
  Token: 結婚, Probability: 0.0019
  Token: nothing, Probability: 0.0018
  Token: erver, Probability: 0.0018
  Token: straight, Probability: 0.0018
  Token: ases, Probability: 0.0017
  Token:  strictly, Probability: 0.0017
  Token: lations, Probability: 0.0017
  Token: Literal, Probability: 0.0016
  Token: /Documents, Probability: 0.0016
  Token: bau, Probability: 0.0016
  Token:  INCIDENTAL, Probability: 0.0016
  Token:  accordance, Probability: 0.0016
  Token: 文, Probability: 0.0016
  Token: oš, Probability: 0.0016
  Token: ModelIndex, Probability: 0.0016
  Token:  Evel, Probability: 0.0015
  Token: according, Probability: 0.0015
  Token:  refer, Probability: 0.0015

Results for Negative of Tensor /content/llama-3.1_layer13_nooptions.pt:
  Token: atz, Probability: 0.0434
  Token: isor, Probability: 0.0165
  Token:  thr, Probability: 0.0081
  Token:  Tun, Probability: 0.0080
  Token: iê, Probability: 0.0058
  Token:  raz, Probability: 0.0054
  Token:  mot, Probability: 0.0053
  Token: #ad, Probability: 0.0051
  Token: ARGER, Probability: 0.0051
  Token: _except, Probability: 0.0050

Results for Negative of Tensor /content/llama-3.1-layer23_nooptions.pt:
  Token: oz, Probability: 0.1101
  Token: oard, Probability: 0.0095
  Token: idis, Probability: 0.0094
  Token: ropp, Probability: 0.0065
  Token: ATAR, Probability: 0.0054
  Token: REW, Probability: 0.0046
  Token: าธ, Probability: 0.0040
  Token: .decorate, Probability: 0.0030
  Token:  し, Probability: 0.0027
  Token: rott, Probability: 0.0026
  Token: aptor, Probability: 0.0026
  Token: pect, Probability: 0.0026
  Token: yd, Probability: 0.0025
  Token: _FAIL, Probability: 0.0025
  Token: ASP, Probability: 0.0024
  Token:  Bilim, Probability: 0.0023
  Token: aller, Probability: 0.0022
  Token: OutOfBounds, Probability: 0.0021
  Token: ieri, Probability: 0.0020
  Token: 丈, Probability: 0.0020
  Token: wan, Probability: 0.0020
  Token:  Liberties, Probability: 0.0019
  Token:  ΠΑΝ, Probability: 0.0019
  Token: _detalle, Probability: 0.0018
  Token: ่อไป, Probability: 0.0018
  Token: 659, Probability: 0.0018
  Token: τρα, Probability: 0.0017
  Token: �, Probability: 0.0017
  Token: UTERS, Probability: 0.0016
  Token: edic, Probability: 0.0016
  Token: 是什么, Probability: 0.0016
  Token: rell, Probability: 0.0016
  Token: овар, Probability: 0.0016
  Token: iere, Probability: 0.0016
  Token: decor, Probability: 0.0016
  Token: اسات, Probability: 0.0015
  Token: erland, Probability: 0.0015
  Token: онов, Probability: 0.0015
  Token: RequestMethod, Probability: 0.0015
  Token: iê, Probability: 0.0014
  Token:  sounds, Probability: 0.0014
  Token:  Truy, Probability: 0.0014
  Token: をか, Probability: 0.0014

Results for Negative of Tensor /content/llama-3.1-layer27-nooptions.pt:
  Token:  sounds, Probability: 0.0084
  Token: resse, Probability: 0.0065
  Token:  Ι, Probability: 0.0062
  Token: طم, Probability: 0.0058
  Token: овар, Probability: 0.0057
  Token: qv, Probability: 0.0055
  Token: iedo, Probability: 0.0054
  Token: ATAR, Probability: 0.0049
  Token: aleb, Probability: 0.0040
  Token: 臺, Probability: 0.0038
  Token:  en, Probability: 0.0035
  Token: 497, Probability: 0.0035
  Token:  wel, Probability: 0.0035
  Token: sage, Probability: 0.0035
  Token: medi, Probability: 0.0031
  Token: kov, Probability: 0.0027
  Token: (日, Probability: 0.0026
  Token:  fuller, Probability: 0.0024
  Token: alley, Probability: 0.0023
  Token: xbf, Probability: 0.0022
  Token: getti, Probability: 0.0022
  Token: tem, Probability: 0.0022
  Token: ourt, Probability: 0.0022
  Token: -major, Probability: 0.0021
  Token: 丈, Probability: 0.0021
  Token: ίκ, Probability: 0.0020
  Token: يكي, Probability: 0.0019
  Token: cede, Probability: 0.0019
  Token: (月, Probability: 0.0018
  Token: іж, Probability: 0.0018
  Token: 高清, Probability: 0.0018
  Token: allo, Probability: 0.0018
  Token: leck, Probability: 0.0017
  Token: 943, Probability: 0.0017
  Token: aller, Probability: 0.0017
  Token:  greater, Probability: 0.0017
  Token: leich, Probability: 0.0017
  Token:  knowledge, Probability: 0.0017
  Token:  дот, Probability: 0.0016
  Token: pector, Probability: 0.0015
  Token: 貌, Probability: 0.0015
  Token: طه, Probability: 0.0015
  Token: (土, Probability: 0.0014
  Token: cdn, Probability: 0.0014
  Token: TEM, Probability: 0.0014
  Token: ále, Probability: 0.0014
  Token: rott, Probability: 0.0013
  Token: SSERT, Probability: 0.0013
  Token:  Sounds, Probability: 0.0013
  Token:  equival, Probability: 0.0012
