Results for Tensor multicontext_first.pt:
  Token: arc, Probability: 0.0459
  Token: less, Probability: 0.0231
  Token: lass, Probability: 0.0151
  Token: rie, Probability: 0.0118
  Token: 不到, Probability: 0.0084
  Token: 不了, Probability: 0.0058
  Token: inp, Probability: 0.0053
  Token: esis, Probability: 0.0052
  Token:  absentee, Probability: 0.0043
  Token: ifar, Probability: 0.0040
  Token:  Programming, Probability: 0.0037
  Token: 么, Probability: 0.0035
  Token: κά, Probability: 0.0033
  Token:  magnets, Probability: 0.0026
  Token: asks, Probability: 0.0026
  Token:  Bond, Probability: 0.0026
  Token:  Pride, Probability: 0.0025
  Token: inee, Probability: 0.0025
  Token: udder, Probability: 0.0024
  Token: ồng, Probability: 0.0022
  Token: holes, Probability: 0.0021
  Token: amping, Probability: 0.0021
  Token: EIF, Probability: 0.0019
  Token: lessness, Probability: 0.0019
  Token: lessly, Probability: 0.0018
  Token: -less, Probability: 0.0018
  Token: .globalData, Probability: 0.0018
  Token: LESS, Probability: 0.0018
  Token:  rubber, Probability: 0.0018
  Token: 植, Probability: 0.0016
  Token: arring, Probability: 0.0016
  Token: bk, Probability: 0.0016
  Token: hiba, Probability: 0.0016
  Token:  ​​, Probability: 0.0015
  Token: 인지, Probability: 0.0015
  Token: �, Probability: 0.0015
  Token:  Гол, Probability: 0.0015
  Token: stride, Probability: 0.0014
  Token: ei, Probability: 0.0014
  Token:  CCS, Probability: 0.0014
  Token: utin, Probability: 0.0013
  Token: -feed, Probability: 0.0012
  Token:  pitch, Probability: 0.0012
  Token:  CrossRef, Probability: 0.0012
  Token: if, Probability: 0.0012
  Token:  Gol, Probability: 0.0011
  Token: -sur, Probability: 0.0011
  Token:  запит, Probability: 0.0011
  Token: 巨, Probability: 0.0010
  Token: elif, Probability: 0.0010
  Token: ồn, Probability: 0.0010
  Token: SCI, Probability: 0.0010
  Token: ้อม, Probability: 0.0010
  Token:  brace, Probability: 0.0010
  Token:  ἀ, Probability: 0.0010
  Token: �, Probability: 0.0010
  Token: 磁, Probability: 0.0010
  Token: ्रद, Probability: 0.0010
  Token: 不足, Probability: 0.0009
  Token: �, Probability: 0.0009
  Token:  LESS, Probability: 0.0009
  Token:  omas, Probability: 0.0009
  Token: OfType, Probability: 0.0009
  Token: axe, Probability: 0.0009
  Token:  вк, Probability: 0.0009
  Token: .Dev, Probability: 0.0009
  Token: sic, Probability: 0.0009
  Token: 前的, Probability: 0.0009
  Token: trak, Probability: 0.0009
  Token: least, Probability: 0.0009
  Token:  Magnetic, Probability: 0.0009
  Token: issuer, Probability: 0.0009
  Token:  grav, Probability: 0.0009
  Token: ACS, Probability: 0.0009
  Token:  aure, Probability: 0.0009
  Token:  заст, Probability: 0.0009
  Token: imming, Probability: 0.0009
  Token:  Sul, Probability: 0.0008
  Token:  derec, Probability: 0.0008
  Token:  zast, Probability: 0.0008
  Token: ede, Probability: 0.0008
  Token: .., Probability: 0.0008
  Token: àu, Probability: 0.0008
  Token: ild, Probability: 0.0008
  Token: YPE, Probability: 0.0008
  Token:  Rubber, Probability: 0.0008
  Token: .googleapis, Probability: 0.0008
  Token: ρίας, Probability: 0.0008
  Token: ораль, Probability: 0.0008
  Token: πε, Probability: 0.0008
  Token: licting, Probability: 0.0007
  Token: streams, Probability: 0.0007
  Token: processors, Probability: 0.0007
  Token: amine, Probability: 0.0007
  Token: loub, Probability: 0.0007
  Token:  desi, Probability: 0.0007
  Token: /dialog, Probability: 0.0007
  Token: ift, Probability: 0.0007
  Token: peak, Probability: 0.0007
  Token:  relentless, Probability: 0.0007

Results for Tensor counterfactual.pt:
  Token: erland, Probability: 0.0133
  Token: alion, Probability: 0.0131
  Token: acher, Probability: 0.0119
  Token: .struts, Probability: 0.0091
  Token: osten, Probability: 0.0090
  Token:  Weston, Probability: 0.0072
  Token:  Casc, Probability: 0.0066
  Token: uese, Probability: 0.0061
  Token: imei, Probability: 0.0057
  Token: óst, Probability: 0.0057
  Token: pis, Probability: 0.0052
  Token: �, Probability: 0.0049
  Token: ampion, Probability: 0.0049
  Token: �, Probability: 0.0045
  Token: evin, Probability: 0.0040
  Token: �, Probability: 0.0034
  Token: anner, Probability: 0.0033
  Token: uren, Probability: 0.0032
  Token: ью, Probability: 0.0031
  Token: олом, Probability: 0.0031
  Token:  Removal, Probability: 0.0030
  Token:  朝, Probability: 0.0029
  Token: inder, Probability: 0.0029
  Token: ople, Probability: 0.0029
  Token: ाइस, Probability: 0.0028
  Token:  Outlet, Probability: 0.0027
  Token: リーズ, Probability: 0.0026
  Token: oden, Probability: 0.0026
  Token: PRINTF, Probability: 0.0026
  Token: ospel, Probability: 0.0025
  Token: dez, Probability: 0.0025
  Token: addock, Probability: 0.0025
  Token: opia, Probability: 0.0024
  Token:  Settlement, Probability: 0.0023
  Token:  bread, Probability: 0.0023
  Token:  �, Probability: 0.0023
  Token: ��, Probability: 0.0022
  Token: raci, Probability: 0.0022
  Token: iran, Probability: 0.0021
  Token: raj, Probability: 0.0021
  Token: igen, Probability: 0.0020
  Token: coles, Probability: 0.0020
  Token: ograms, Probability: 0.0019
  Token: anna, Probability: 0.0019
  Token: ona, Probability: 0.0019
  Token: iesen, Probability: 0.0018
  Token: oty, Probability: 0.0018
  Token: ogram, Probability: 0.0018
  Token: haf, Probability: 0.0017
  Token: ogh, Probability: 0.0016
  Token:  Obl, Probability: 0.0016
  Token: OLON, Probability: 0.0016
  Token: ตล, Probability: 0.0016
  Token: ám, Probability: 0.0016
  Token: inkle, Probability: 0.0015
  Token:  příro, Probability: 0.0015
  Token: _UNS, Probability: 0.0015
  Token:  yên, Probability: 0.0015
  Token: .extent, Probability: 0.0015
  Token:  US, Probability: 0.0015
  Token: innacle, Probability: 0.0014
  Token: .ml, Probability: 0.0014
  Token: ounds, Probability: 0.0014
  Token: ues, Probability: 0.0014
  Token: izzo, Probability: 0.0014
  Token: lín, Probability: 0.0014
  Token: arl, Probability: 0.0014
  Token: 钮, Probability: 0.0013
  Token: _crop, Probability: 0.0013
  Token:  Fleming, Probability: 0.0013
  Token: agg, Probability: 0.0012
  Token: relude, Probability: 0.0012
  Token: OperationException, Probability: 0.0012
  Token: upos, Probability: 0.0012
  Token:  Calvin, Probability: 0.0012
  Token: AspNet, Probability: 0.0012
  Token: طن, Probability: 0.0012
  Token:  Xem, Probability: 0.0011
  Token: ropol, Probability: 0.0011
  Token:  Hermes, Probability: 0.0011
  Token: ovel, Probability: 0.0011
  Token: ouncer, Probability: 0.0011
  Token: ylene, Probability: 0.0011
  Token:  Emperor, Probability: 0.0011
  Token: oeff, Probability: 0.0010
  Token: oulos, Probability: 0.0010
  Token:  Ama, Probability: 0.0010
  Token:  Watching, Probability: 0.0010
  Token: तर, Probability: 0.0010
  Token: ยม, Probability: 0.0010
  Token: lical, Probability: 0.0009
  Token: igos, Probability: 0.0009
  Token: лаж, Probability: 0.0009
  Token:  Gall, Probability: 0.0009
  Token: aison, Probability: 0.0009
  Token: enco, Probability: 0.0009
  Token: ubs, Probability: 0.0009
  Token: ướ, Probability: 0.0009
  Token: aml, Probability: 0.0009
  Token: Calibri, Probability: 0.0009

Results for Tensor multicontext_fixed.pt:
  Token: less, Probability: 0.1416
  Token: rie, Probability: 0.0297
  Token: arc, Probability: 0.0102
  Token:  Bond, Probability: 0.0070
  Token: lessly, Probability: 0.0066
  Token:  magnets, Probability: 0.0062
  Token:  Pride, Probability: 0.0046
  Token:  pitch, Probability: 0.0045
  Token:  Gol, Probability: 0.0036
  Token: LESS, Probability: 0.0035
  Token: lass, Probability: 0.0030
  Token: hiba, Probability: 0.0029
  Token:  magnet, Probability: 0.0027
  Token: 植, Probability: 0.0026
  Token: stride, Probability: 0.0025
  Token: .googleapis, Probability: 0.0025
  Token: utin, Probability: 0.0024
  Token: 인지, Probability: 0.0024
  Token:  absentee, Probability: 0.0023
  Token: .globalData, Probability: 0.0023
  Token: if, Probability: 0.0022
  Token: lessness, Probability: 0.0022
  Token: inee, Probability: 0.0022
  Token:  pitches, Probability: 0.0021
  Token: ifar, Probability: 0.0019
  Token: 不了, Probability: 0.0018
  Token:  ​​, Probability: 0.0018
  Token: asks, Probability: 0.0018
  Token: oleč, Probability: 0.0016
  Token:  Magnet, Probability: 0.0016
  Token:  sur, Probability: 0.0016
  Token: ACS, Probability: 0.0016
  Token:  Гол, Probability: 0.0016
  Token: lotte, Probability: 0.0016
  Token:  presup, Probability: 0.0016
  Token: -less, Probability: 0.0015
  Token: sic, Probability: 0.0015
  Token:  Programming, Probability: 0.0014
  Token: endale, Probability: 0.0014
  Token: год, Probability: 0.0014
  Token:  Bour, Probability: 0.0014
  Token: erno, Probability: 0.0014
  Token: 不到, Probability: 0.0013
  Token:  Meet, Probability: 0.0013
  Token: inp, Probability: 0.0013
  Token: àu, Probability: 0.0011
  Token: κά, Probability: 0.0011
  Token:  вк, Probability: 0.0011
  Token:  Rubin, Probability: 0.0011
  Token: holes, Probability: 0.0011
  Token: /wp, Probability: 0.0011
